depth,gate_count,num_qubits,cx_count,remote_gate_count,teleportation_count,profile,bell_fidelity,latency,waiting_time,link_loss,gate_error,readout_error,output_fidelity
14,60,5,1,1,1,Good,0.9916,17.87,8.94,0.0122,0.0021100611747495446,0.006434373005351127,0.991628
14,60,5,1,1,1,Good,0.9916,17.87,8.94,0.0122,0.0021100611747495446,0.006434373005351127,0.991734
12,50,5,2,2,2,Poor,0.8681,67.48,33.74,0.1356,0.032982420029773724,0.018343853208087135,0.989653
12,50,5,2,2,2,Poor,0.8681,67.48,33.74,0.1356,0.032982420029773724,0.018343853208087135,0.984405
18,64,5,2,0,0,Average,0.97,28.36,14.18,0.0328,0.007510890953027288,0.009809169032662018,0.982617
18,64,5,2,0,0,Average,0.97,28.36,14.18,0.0328,0.007510890953027288,0.009809169032662018,0.992235
18,129,8,1,1,1,Average,0.9701,48.18,24.09,0.0346,0.007477415990958719,0.00842854252937971,0.902795
18,129,8,1,1,1,Average,0.9701,48.18,24.09,0.0346,0.007477415990958719,0.00842854252937971,0.913676
16,53,6,1,1,1,Poor,0.8879,80.31,40.16,0.1109,0.028015472610027736,0.02364882065244899,0.97264
16,53,6,1,1,1,Poor,0.8879,80.31,40.16,0.1109,0.028015472610027736,0.02364882065244899,0.964574
7,35,6,1,0,0,Poor,0.8563,50.08,25.04,0.144,0.03591537331724967,0.02579144998717268,0.975314
7,35,6,1,0,0,Poor,0.8563,50.08,25.04,0.144,0.03591537331724967,0.02579144998717268,0.97334
17,69,5,1,0,0,Poor,0.8752,53.5,26.75,0.1231,0.031209253608118964,0.019708734675875396,0.981087
17,69,5,1,0,0,Poor,0.8752,53.5,26.75,0.1231,0.031209253608118964,0.019708734675875396,0.987045
16,54,7,1,0,0,Poor,0.8826,84.86,42.43,0.1144,0.02935864932086052,0.024973941513191572,0.923185
16,54,7,1,0,0,Poor,0.8826,84.86,42.43,0.1144,0.02935864932086052,0.024973941513191572,0.948706
11,55,7,1,1,1,Average,0.9347,32.18,16.09,0.0633,0.016327564319869675,0.008681461479061136,0.952378
11,55,7,1,1,1,Average,0.9347,32.18,16.09,0.0633,0.016327564319869675,0.008681461479061136,0.955728
16,89,8,1,1,1,Poor,0.8761,72.09,36.04,0.1241,0.03098460967161551,0.02690603098659003,0.824855
16,89,8,1,1,1,Poor,0.8761,72.09,36.04,0.1241,0.03098460967161551,0.02690603098659003,0.825835
16,72,6,1,1,1,Excellent,0.9942,9.09,4.55,0.0075,0.0014458561674589032,0.0014492813319945765,0.979992
16,72,6,1,1,1,Excellent,0.9942,9.09,4.55,0.0075,0.0014458561674589032,0.0014492813319945765,0.977757
10,37,5,2,0,0,Excellent,0.9913,5.23,2.62,0.0098,0.0021816551243029336,0.0025369786780003937,0.99085
10,37,5,2,0,0,Excellent,0.9913,5.23,2.62,0.0098,0.0021816551243029336,0.0025369786780003937,0.993667
19,78,7,2,0,0,Good,0.9813,17.18,8.59,0.0177,0.0046707601797723874,0.003590285380365193,0.963241
19,78,7,2,0,0,Good,0.9813,17.18,8.59,0.0177,0.0046707601797723874,0.003590285380365193,0.960178
20,77,5,1,0,0,Average,0.9355,48.5,24.25,0.0657,0.01613262845119995,0.012754191690207736,0.992309
20,77,5,1,0,0,Average,0.9355,48.5,24.25,0.0657,0.01613262845119995,0.012754191690207736,0.992592
19,131,8,1,0,0,Poor,0.8703,94.86,47.43,0.1295,0.032436422751134064,0.01888787322697529,0.924203
19,131,8,1,0,0,Poor,0.8703,94.86,47.43,0.1295,0.032436422751134064,0.01888787322697529,0.911926
14,42,5,3,1,1,Poor,0.9049,53.87,26.94,0.0929,0.02378527524955759,0.019795643526281433,0.988834
14,42,5,3,1,1,Poor,0.9049,53.87,26.94,0.0929,0.02378527524955759,0.019795643526281433,0.97178
10,27,5,1,1,1,Good,0.9841,13.83,6.92,0.0131,0.003979144140120794,0.004659471583592873,0.988169
10,27,5,1,1,1,Good,0.9841,13.83,6.92,0.0131,0.003979144140120794,0.004659471583592873,0.989759
20,75,6,2,1,1,Poor,0.8623,53.11,26.56,0.1366,0.034434131355142394,0.026546936584719946,0.937646
20,75,6,2,1,1,Poor,0.8623,53.11,26.56,0.1366,0.034434131355142394,0.026546936584719946,0.953961
15,48,6,3,3,3,Poor,0.8529,92.67,46.34,0.1463,0.03677105356282756,0.02621273503467076,0.885165
15,48,6,3,3,3,Poor,0.8529,92.67,46.34,0.1463,0.03677105356282756,0.02621273503467076,0.878116
13,56,8,1,0,0,Poor,0.8904,60.97,30.49,0.1049,0.027394157471065966,0.020041943155475736,0.901954
13,56,8,1,0,0,Poor,0.8904,60.97,30.49,0.1049,0.027394157471065966,0.020041943155475736,0.900582
6,36,8,2,0,0,Poor,0.8728,79.59,39.8,0.123,0.03180012648131822,0.02142919154491642,0.907393
6,36,8,2,0,0,Poor,0.8728,79.59,39.8,0.123,0.03180012648131822,0.02142919154491642,0.903709
16,78,7,2,0,0,Good,0.987,14.55,7.27,0.0168,0.003238402775364607,0.004113026462555224,0.965573
16,78,7,2,0,0,Good,0.987,14.55,7.27,0.0168,0.003238402775364607,0.004113026462555224,0.965248
14,49,7,2,1,1,Excellent,0.988,7.35,3.68,0.0075,0.002992346632098991,0.002903839384763842,0.961211
14,49,7,2,1,1,Excellent,0.988,7.35,3.68,0.0075,0.002992346632098991,0.002903839384763842,0.960682
12,31,5,1,0,0,Excellent,0.9974,8.11,4.05,0.0024,0.001,0.0012287788922186133,0.99208
12,31,5,1,0,0,Excellent,0.9974,8.11,4.05,0.0024,0.001,0.0012287788922186133,0.996215
20,73,5,1,1,1,Average,0.9644,43.01,21.5,0.0367,0.008909772698950713,0.012983405215642287,0.987384
20,73,5,1,1,1,Average,0.9644,43.01,21.5,0.0367,0.008909772698950713,0.012983405215642287,0.98892
11,25,4,2,1,1,Average,0.9671,23.24,11.62,0.031,0.008226891143987919,0.01241877829480327,0.995915
11,25,4,2,1,1,Average,0.9671,23.24,11.62,0.031,0.008226891143987919,0.01241877829480327,0.993043
18,112,7,3,1,1,Good,0.9775,10.76,5.38,0.0238,0.0056349660906622745,0.003407605221783906,0.959935
18,112,7,3,1,1,Good,0.9775,10.76,5.38,0.0238,0.0056349660906622745,0.003407605221783906,0.962337
9,39,6,1,1,1,Excellent,0.9944,6.74,3.37,0.0043,0.0013945178425417148,0.0020119215793541556,0.976244
9,39,6,1,1,1,Excellent,0.9944,6.74,3.37,0.0043,0.0013945178425417148,0.0020119215793541556,0.97656
6,21,6,1,0,0,Poor,0.9262,91.12,45.56,0.0784,0.01845880849484352,0.024533776591521686,0.912315
6,21,6,1,0,0,Poor,0.9262,91.12,45.56,0.0784,0.01845880849484352,0.024533776591521686,0.913542
10,41,7,2,1,1,Poor,0.8898,58.81,29.4,0.1117,0.027558791403727745,0.024238685310803264,0.906713
10,41,7,2,1,1,Poor,0.8898,58.81,29.4,0.1117,0.027558791403727745,0.024238685310803264,0.894822
19,65,7,1,1,1,Average,0.9645,29.67,14.83,0.0398,0.008868396994401895,0.009231425993539762,0.95637
19,65,7,1,1,1,Average,0.9645,29.67,14.83,0.0398,0.008868396994401895,0.009231425993539762,0.956054
13,67,7,1,1,1,Poor,0.8749,78.49,39.25,0.1235,0.03127277785918142,0.02241459755423883,0.960012
13,67,7,1,1,1,Poor,0.8749,78.49,39.25,0.1235,0.03127277785918142,0.02241459755423883,0.951422
