depth,gate_count,cx_count,remote_gate_count,teleportation_count,bell_fidelity,latency,waiting_time,link_loss,ideal_counts,noisy_counts,output_fidelity
10,17,1,0,0,0.85,85.68,15.42,0.15,"{'1000': 1, '1010': 4, '1110': 3, '0100': 4, '1100': 1, '0001': 1, '0101': 20, '0111': 11, '1111': 100, '1101': 185, '0010': 125, '0000': 193, '1011': 239, '1001': 137}","{'0110': 3, '1110': 11, '0001': 3, '0011': 4, '0101': 10, '1100': 5, '0100': 4, '1000': 11, '1010': 10, '1001': 123, '1011': 221, '0010': 116, '0000': 193, '1111': 110, '1101': 179, '0111': 21}",0.9443
5,11,1,1,1,0.874,40.08,38.85,0.02,"{'0010': 640, '0110': 384}","{'0101': 8, '1011': 2, '0110': 374, '0001': 6, '1111': 5, '0111': 2, '0011': 5, '1100': 2, '1000': 8, '0010': 612}",0.9629
8,17,0,0,0,0.974,17.82,6.09,0.051,"{'0001': 16, '0011': 15, '0010': 11, '0000': 13, '1000': 250, '1011': 242, '1001': 242, '1010': 235}","{'1110': 7, '0101': 6, '0111': 8, '0100': 3, '1100': 7, '1101': 4, '1111': 8, '0001': 17, '0011': 28, '0000': 39, '0010': 29, '0110': 3, '1000': 214, '1010': 230, '1001': 210, '1011': 211}",0.8984
8,14,1,1,1,0.939,44.24,29.83,0.112,{'0000': 1024},"{'0111': 3, '1101': 10, '1111': 2, '1001': 5, '0110': 16, '0001': 22, '0011': 11, '1011': 5, '1000': 29, '1110': 42, '1100': 48, '0100': 63, '1010': 30, '0000': 678, '0010': 46, '0101': 14}",0.6621
6,10,0,0,0,0.956,17.28,27.79,0.049,{'0000': 1024},"{'0100': 8, '0001': 2, '1000': 3, '1100': 12, '0101': 3, '0000': 996}",0.9727
11,19,0,0,0,0.961,7.75,14.55,0.1,"{'0100': 132, '0010': 172, '0000': 389, '0110': 331}","{'0111': 5, '1000': 16, '1101': 23, '1111': 9, '1011': 18, '0101': 5, '1001': 17, '1100': 9, '0100': 113, '0110': 293, '0011': 3, '0001': 17, '1010': 17, '1110': 16, '0010': 146, '0000': 317}",0.8486
10,19,0,0,0,0.854,88.5,20.62,0.001,"{'0000': 498, '0100': 526}","{'1001': 4, '1011': 10, '1110': 10, '1010': 12, '0100': 385, '1100': 43, '1000': 34, '0010': 24, '0000': 384, '0101': 22, '1101': 4, '1111': 5, '0111': 16, '0011': 18, '0001': 19, '0110': 34}",0.751
7,14,0,0,0,0.865,75.93,34.02,0.187,"{'0111': 31, '0011': 115, '0010': 640, '0110': 238}","{'1001': 1, '1011': 3, '1000': 8, '1110': 5, '1111': 8, '1101': 2, '1010': 6, '0101': 6, '0001': 14, '0011': 110, '0111': 28, '0110': 229, '1100': 1, '0100': 20, '0000': 30, '0010': 553}",0.8984
11,22,0,0,0,0.94,91.88,47.38,0.013,"{'1001': 2, '1110': 1, '1101': 6, '1111': 10, '0111': 20, '1011': 47, '0010': 1, '0000': 32, '0101': 433, '1010': 177, '0110': 13, '0001': 22, '0100': 260}","{'1101': 2, '1111': 12, '0111': 19, '0000': 21, '1011': 43, '1010': 193, '0110': 9, '0100': 303, '0001': 27, '1110': 3, '0101': 392}",0.9336
10,20,0,0,0,0.982,97.87,13.76,0.076,"{'1110': 242, '1010': 266, '0000': 5, '0010': 261, '0100': 1, '0110': 249}","{'1001': 8, '1000': 11, '0011': 8, '0001': 7, '1111': 14, '1101': 4, '0101': 14, '0100': 24, '1100': 16, '1110': 221, '1010': 181, '1011': 12, '0111': 13, '0110': 243, '0000': 31, '0010': 217}",0.8477
11,20,0,0,0,0.969,25.8,19.83,0.183,"{'1000': 8, '0000': 48, '0100': 180, '1100': 788}","{'1101': 7, '0111': 5, '1111': 6, '0101': 2, '0010': 1, '0000': 44, '0110': 1, '0100': 188, '1110': 12, '1000': 6, '1100': 752}",0.959
11,17,0,0,0,0.923,59.13,28.24,0.196,"{'1100': 247, '0000': 253, '1000': 275, '0100': 249}","{'0110': 2, '1110': 3, '1011': 7, '1010': 6, '0111': 12, '1101': 31, '1111': 23, '0001': 54, '0011': 7, '1001': 55, '0101': 52, '1100': 199, '0100': 183, '1000': 183, '0010': 6, '0000': 201}",0.748
